id_cliente,id_empresa,nome_cliente,segmento,limite_credito,risco_cliente,status,data_cadastro
44,1,Rodrigues e Filhos,Tecnologia,77489.82,baixo,ativo,2025-07-07
45,1,Rodrigues - EI,Varejo,19447.62,alto,ativo,2021-10-20
46,1,Vargas,Atacado,110177.58,baixo,ativo,2020-05-30
47,1,Camargo,Tecnologia,60887.23,baixo,ativo,2025-10-08
48,1,Lopes,Varejo,79549.4,medio,ativo,2022-02-07
49,1,Marques Abreu e Filhos,Varejo,100942.4,baixo,ativo,2022-04-13
50,1,Montenegro,Tecnologia,37031.72,baixo,ativo,2021-05-12
51,1,Montenegro Caldeira e Filhos,Indústria,101902.9,baixo,ativo,2026-03-06
52,1,Porto,Varejo,73038.79,baixo,ativo,2025-03-05
53,1,Cassiano Freitas S.A.,Indústria,46969.39,alto,ativo,2025-09-15
54,1,Peixoto Ltda.,Tecnologia,48599.97,medio,ativo,2026-03-07
55,1,Almeida,Serviços,44779.35,baixo,ativo,2020-10-12
56,1,Fonseca Ltda.,Atacado,122700.8,baixo,ativo,2022-12-30
57,1,Araújo da Costa - EI,Tecnologia,33884.47,medio,ativo,2021-08-31
58,1,Barros e Filhos,Tecnologia,82964.38,baixo,ativo,2025-02-08
59,1,Azevedo,Tecnologia,15746.25,alto,ativo,2022-08-14
60,2,Cardoso Ribeiro - ME,Tecnologia,116811.67,baixo,ativo,2021-09-15
61,2,da Luz Moura - EI,Varejo,24812.55,baixo,ativo,2024-12-08
62,2,Cunha,Serviços,138357.42,baixo,ativo,2020-11-02
63,2,Silva das Neves - ME,Varejo,145996.47,baixo,ativo,2023-09-07
64,2,Macedo,Tecnologia,40400.75,medio,ativo,2026-01-25
65,2,Campos,Serviços,28894.7,baixo,ativo,2021-01-05
66,2,Câmara Azevedo Ltda.,Tecnologia,32797.61,baixo,ativo,2021-11-12
67,2,Pastor - EI,Indústria,13679.28,medio,ativo,2024-01-08
68,2,Pastor Câmara S/A,Serviços,38924.07,baixo,ativo,2021-11-27
69,2,Santos e Filhos,Tecnologia,99233.93,baixo,ativo,2021-08-09
70,2,da Conceição S/A,Tecnologia,102927.6,baixo,ativo,2023-03-24
71,2,Farias S/A,Atacado,45338.38,medio,ativo,2023-05-10
72,2,da Mota Rios - ME,Serviços,75160.16,baixo,ativo,2024-04-24
73,2,Nogueira Cardoso e Filhos,Indústria,40509.14,medio,ativo,2023-04-24
74,2,da Cruz,Varejo,127904.88,baixo,ativo,2025-07-27
75,2,Jesus,Indústria,72059.28,medio,ativo,2022-06-16
76,2,Brito Brito e Filhos,Serviços,100715.85,baixo,ativo,2021-02-01
77,2,Fogaça,Atacado,24837.04,alto,ativo,2024-02-03
78,2,Jesus,Serviços,33608.84,medio,ativo,2022-04-02
79,2,Siqueira,Indústria,90123.01,baixo,ativo,2021-11-04
80,2,Rocha e Filhos,Indústria,127209.68,baixo,ativo,2021-04-16
81,2,Araújo - ME,Tecnologia,29788.92,baixo,ativo,2026-04-01
82,2,Caldeira,Tecnologia,122788.66,baixo,ativo,2024-02-18
83,2,Correia Correia - EI,Indústria,56764.81,medio,ativo,2021-03-19
84,2,Carvalho,Indústria,59563.75,medio,ativo,2022-06-25
85,2,Cirino,Tecnologia,47141.4,medio,ativo,2021-04-22
86,2,Martins,Varejo,143014.0,baixo,ativo,2022-08-19
87,2,Barbosa Macedo - EI,Atacado,46291.5,medio,ativo,2024-09-12
88,2,Aragão e Filhos,Tecnologia,114457.89,baixo,ativo,2024-07-29
89,2,Borges S.A.,Tecnologia,14777.14,alto,ativo,2022-08-25
90,2,Jesus Mendonça - ME,Indústria,64854.42,medio,ativo,2020-09-05
91,2,Guerra Araújo S.A.,Tecnologia,44675.11,baixo,ativo,2021-01-10
92,2,Abreu,Indústria,57771.68,medio,ativo,2022-09-24
93,2,da Luz,Atacado,42341.8,alto,ativo,2022-04-28
94,2,da Paz,Atacado,125696.89,baixo,ativo,2020-01-12
95,2,Sampaio,Serviços,147923.66,baixo,ativo,2021-03-26
96,2,Cassiano,Serviços,11188.83,medio,ativo,2023-08-19
97,2,da Rocha Cunha S/A,Varejo,54497.78,baixo,ativo,2020-09-17
98,2,Souza Ltda.,Atacado,121142.22,baixo,ativo,2022-06-26
99,2,Aragão - EI,Atacado,44014.14,alto,ativo,2023-05-20
100,2,Montenegro,Tecnologia,145323.4,baixo,ativo,2024-10-12
101,2,Araújo Moraes S/A,Varejo,82776.07,medio,ativo,2023-08-12
102,2,Azevedo Peixoto S/A,Atacado,28538.69,baixo,ativo,2023-08-24
103,2,Guerra Campos - EI,Tecnologia,97660.94,baixo,ativo,2021-02-10
104,2,Pacheco Peixoto S/A,Atacado,62377.04,medio,ativo,2022-05-30
105,2,Leão e Filhos,Tecnologia,135451.83,baixo,ativo,2024-08-30
106,2,da Luz,Serviços,35001.89,medio,ativo,2025-04-26
107,2,Rios Silva Ltda.,Indústria,128130.35,baixo,ativo,2021-06-16
108,2,da Luz Gonçalves S.A.,Varejo,96240.46,baixo,ativo,2024-08-09
109,2,Marques,Varejo,106494.27,baixo,ativo,2023-03-24
110,2,Sá,Tecnologia,65714.0,baixo,ativo,2022-07-07
111,2,Albuquerque - ME,Indústria,54501.24,medio,ativo,2026-06-09
112,2,Barbosa - EI,Atacado,75784.61,baixo,ativo,2026-03-30
113,2,Montenegro da Luz S.A.,Serviços,140780.96,baixo,ativo,2023-01-24
114,2,Azevedo,Serviços,37185.97,medio,ativo,2026-05-08
115,2,Freitas da Paz S.A.,Varejo,69277.52,medio,ativo,2025-12-12
116,2,Nogueira,Indústria,74578.22,baixo,ativo,2026-05-13
117,2,Pimenta,Varejo,134834.48,baixo,ativo,2020-11-30
118,2,Rios - EI,Indústria,106052.03,baixo,ativo,2022-06-01
119,2,Ribeiro,Atacado,44393.09,medio,ativo,2025-06-16
120,2,Carvalho Ltda.,Varejo,60094.52,baixo,ativo,2020-02-01
121,2,Caldeira e Filhos,Indústria,142892.13,baixo,ativo,2023-09-05
122,2,da Mata da Paz - EI,Atacado,84660.09,baixo,ativo,2022-07-31
123,2,Silva Fernandes S.A.,Varejo,128336.05,baixo,ativo,2024-11-21
124,2,Montenegro,Atacado,139751.12,baixo,ativo,2024-07-14
125,2,da Cunha,Indústria,19213.87,medio,ativo,2021-12-04
126,2,Borges e Filhos,Varejo,76562.07,medio,ativo,2024-11-23
127,2,da Mota,Tecnologia,57109.7,medio,ativo,2023-06-24
128,2,Abreu Ltda.,Varejo,72329.43,medio,ativo,2025-12-13
129,2,Porto da Luz S.A.,Serviços,137769.96,baixo,ativo,2022-08-25
130,2,Novaes,Varejo,53275.87,baixo,ativo,2021-12-26
131,2,Novais,Atacado,30368.1,alto,ativo,2025-01-12
132,2,Camargo S/A,Indústria,61439.35,medio,ativo,2023-07-18
133,2,Nogueira Andrade Ltda.,Indústria,28877.21,baixo,ativo,2020-08-18
134,2,Lopes Cardoso S/A,Indústria,29644.79,baixo,ativo,2023-03-21
135,2,Fonseca,Atacado,132352.5,baixo,ativo,2024-04-23
136,2,Fogaça S.A.,Tecnologia,92061.13,baixo,ativo,2026-05-30
137,2,Rios Caldeira Ltda.,Varejo,48050.32,medio,ativo,2025-01-19
138,2,Pinto,Atacado,136886.49,baixo,ativo,2021-12-07
139,2,da Costa Castro S.A.,Atacado,111990.82,baixo,ativo,2021-10-12
140,2,Alves,Atacado,139331.78,baixo,ativo,2020-08-02
141,2,Sousa Farias - ME,Tecnologia,15272.95,medio,ativo,2023-03-09
142,2,da Mata Castro e Filhos,Serviços,130703.61,baixo,ativo,2023-09-27
143,2,Garcia S/A,Tecnologia,106269.57,baixo,ativo,2021-06-12
144,2,Câmara,Indústria,141940.29,baixo,ativo,2021-06-07
145,2,Marques Ferreira Ltda.,Atacado,69101.97,medio,ativo,2021-01-17
146,2,Câmara Alves e Filhos,Serviços,38946.25,medio,ativo,2022-05-27
147,2,Guerra Farias Ltda.,Serviços,119600.31,baixo,ativo,2020-11-12
148,2,Vargas Ltda.,Atacado,122455.62,baixo,ativo,2020-06-03
149,2,Ramos,Serviços,59442.52,medio,ativo,2021-10-26
150,2,Rocha,Tecnologia,110069.93,baixo,ativo,2020-06-27
151,2,Alves,Indústria,107927.18,baixo,ativo,2025-01-12
152,2,da Luz S.A.,Serviços,51091.9,baixo,ativo,2024-02-15
153,2,Andrade,Tecnologia,45247.79,medio,ativo,2025-08-21
154,2,Peixoto - ME,Serviços,145614.86,baixo,ativo,2022-10-21
155,2,Siqueira,Atacado,82476.79,baixo,ativo,2021-05-25
156,2,Lopes,Serviços,119205.19,baixo,ativo,2024-11-26
157,2,Gomes - EI,Varejo,138365.64,baixo,ativo,2024-08-26
158,2,da Cunha Aparecida e Filhos,Indústria,85260.92,baixo,ativo,2022-07-08
159,2,Abreu,Serviços,141007.37,baixo,ativo,2021-07-17
160,2,Fonseca Lopes S/A,Tecnologia,139261.5,baixo,ativo,2025-01-11
161,2,Pinto,Serviços,137761.47,baixo,ativo,2026-02-25
162,2,Ribeiro,Serviços,39927.77,alto,ativo,2023-05-18
163,2,Silveira Ltda.,Varejo,50997.14,baixo,ativo,2021-03-30
164,2,Rios,Atacado,52884.3,medio,ativo,2022-09-17
165,2,Duarte,Atacado,10125.15,medio,ativo,2024-09-02
166,2,Sampaio,Atacado,106867.94,baixo,ativo,2026-02-06
167,2,Novaes,Tecnologia,148483.09,baixo,ativo,2020-06-27
168,2,Correia Leão e Filhos,Varejo,147535.12,baixo,ativo,2023-11-13
169,2,Rocha,Indústria,105423.57,baixo,ativo,2021-06-30
170,2,Pimenta Nunes Ltda.,Tecnologia,90981.79,baixo,ativo,2025-05-14
171,2,Novaes,Tecnologia,125494.7,baixo,ativo,2020-05-31
172,2,da Rosa Ltda.,Indústria,25694.82,baixo,ativo,2025-10-12
173,2,Lopes Viana - EI,Serviços,126002.79,baixo,ativo,2023-03-17
174,2,Martins,Varejo,121509.4,baixo,ativo,2024-02-16
175,2,Macedo,Indústria,72002.83,baixo,ativo,2022-02-04
176,2,Moraes Melo e Filhos,Varejo,84678.04,baixo,ativo,2024-10-04
177,2,Ribeiro Barros Ltda.,Indústria,98318.93,baixo,ativo,2021-02-24
178,2,Borges,Tecnologia,105919.5,baixo,ativo,2021-11-13
179,2,Rocha das Neves S.A.,Indústria,13388.41,medio,ativo,2024-11-16
180,2,Casa Grande Alves S/A,Tecnologia,147403.55,baixo,ativo,2024-01-28
181,2,Melo Pimenta S/A,Atacado,117486.74,baixo,ativo,2024-11-29
182,2,Leão,Tecnologia,28740.34,baixo,ativo,2026-05-12
183,2,Silva Sampaio - ME,Tecnologia,39946.96,baixo,ativo,2020-11-10
184,2,Guerra,Serviços,88829.78,baixo,ativo,2021-04-09
185,2,Casa Grande Rezende e Filhos,Varejo,44186.25,baixo,ativo,2022-12-08
186,2,Sá S/A,Tecnologia,27165.63,medio,ativo,2022-03-30
187,2,Câmara,Tecnologia,130867.42,baixo,ativo,2020-12-25
188,2,Sampaio Moreira - ME,Varejo,88925.97,medio,ativo,2026-03-02
189,2,Novais S.A.,Serviços,135873.12,baixo,ativo,2024-01-20
190,2,Marques S.A.,Tecnologia,35777.12,baixo,ativo,2020-04-17
191,2,Rios,Serviços,94396.06,baixo,ativo,2020-12-19
192,2,Sá,Tecnologia,71760.8,baixo,ativo,2024-08-04
193,2,Pimenta,Tecnologia,87790.38,medio,ativo,2025-03-23
194,2,Novaes,Atacado,80236.81,medio,ativo,2022-01-15
195,2,Castro,Varejo,50229.1,medio,ativo,2025-10-23
196,2,Machado,Indústria,41405.42,baixo,ativo,2025-10-26
197,2,Sá,Atacado,30048.42,medio,ativo,2023-01-29
198,2,Porto da Mota - EI,Serviços,59367.2,baixo,ativo,2021-09-23
199,2,Pires,Atacado,101182.29,baixo,ativo,2020-06-17
200,2,da Mota Macedo S/A,Atacado,13636.94,medio,ativo,2022-12-20
201,2,da Costa,Tecnologia,43326.94,medio,ativo,2026-02-12
202,3,Farias,Tecnologia,29590.23,medio,ativo,2023-05-03
203,3,Nogueira,Tecnologia,109519.76,baixo,ativo,2022-04-15
204,3,Carvalho S.A.,Indústria,38676.93,baixo,ativo,2024-06-21
205,3,Gomes Sales S.A.,Tecnologia,68170.23,baixo,ativo,2021-05-16
206,3,Azevedo Leão - ME,Tecnologia,52229.45,baixo,ativo,2024-09-08
207,3,Nogueira,Atacado,132489.98,baixo,ativo,2023-07-04
208,3,Leão,Indústria,40714.51,baixo,ativo,2025-07-30
209,3,Costela - ME,Serviços,142880.26,baixo,ativo,2023-12-16
210,3,Vargas,Tecnologia,56576.32,baixo,ativo,2023-03-16
211,3,Teixeira - EI,Indústria,130132.41,baixo,ativo,2024-07-09
212,3,Mendes,Atacado,72075.61,baixo,ativo,2023-03-28
213,3,Fogaça Ltda.,Atacado,85553.22,baixo,ativo,2021-05-01
214,3,Leão,Atacado,32568.59,baixo,ativo,2024-02-06
215,3,Mendonça Câmara Ltda.,Varejo,50729.8,medio,ativo,2020-06-08
216,3,Mendonça,Atacado,63295.29,baixo,ativo,2025-10-12
217,3,Gomes Ltda.,Atacado,141077.94,baixo,ativo,2023-05-10
218,3,Silveira,Atacado,85950.95,baixo,ativo,2023-05-12
219,3,Martins Cardoso - EI,Tecnologia,22162.8,baixo,ativo,2023-06-14
220,3,Gonçalves - EI,Tecnologia,65043.49,medio,ativo,2022-12-23
221,3,Barros e Filhos,Varejo,30993.55,alto,ativo,2025-05-21
222,3,Carvalho,Serviços,101773.28,baixo,ativo,2022-09-19
223,3,Cirino,Indústria,143266.67,baixo,ativo,2024-09-11
224,3,da Luz - ME,Tecnologia,109765.03,baixo,ativo,2020-09-12
225,3,Cunha,Tecnologia,54870.94,medio,ativo,2025-11-22
226,3,Duarte,Atacado,144369.11,baixo,ativo,2023-12-22
227,3,Teixeira,Indústria,64459.67,medio,ativo,2025-06-06
228,3,da Mota,Indústria,52047.49,baixo,ativo,2023-03-29
229,3,da Cunha,Atacado,49120.25,medio,ativo,2023-01-25
230,3,Melo S/A,Tecnologia,94551.98,baixo,ativo,2023-11-14
231,3,Ferreira S.A.,Varejo,17943.37,alto,ativo,2023-11-19
232,3,Vasconcelos e Filhos,Atacado,14629.41,alto,ativo,2023-01-15
233,3,Sá S/A,Atacado,32705.47,alto,ativo,2022-09-07
234,3,Costa Almeida - EI,Varejo,107078.42,baixo,ativo,2021-02-14
235,3,da Costa Cardoso - ME,Varejo,113256.55,baixo,ativo,2026-03-04
236,3,Nunes S.A.,Tecnologia,44629.14,alto,ativo,2025-05-09
237,3,Sampaio,Varejo,32979.6,medio,ativo,2021-01-01
238,3,Vargas,Varejo,69094.92,medio,ativo,2021-12-18
239,3,Cavalcante,Tecnologia,128888.64,baixo,ativo,2025-07-22
240,3,Vasconcelos S.A.,Varejo,117370.42,baixo,ativo,2020-02-07
241,3,Caldeira,Tecnologia,98361.79,baixo,ativo,2026-02-03
242,3,das Neves - EI,Indústria,135603.8,baixo,ativo,2022-02-28
243,3,Gonçalves,Serviços,68489.54,medio,ativo,2020-02-27
244,3,Barbosa Pastor e Filhos,Serviços,55422.5,medio,ativo,2024-07-18
245,3,Caldeira Sampaio Ltda.,Serviços,16939.02,medio,ativo,2021-07-29
246,3,Vieira - EI,Tecnologia,141657.3,baixo,ativo,2022-12-29
247,3,Ferreira - EI,Indústria,5514.61,alto,ativo,2022-08-25
248,3,Ribeiro,Atacado,35369.23,baixo,ativo,2023-06-27
249,3,Azevedo,Serviços,85250.85,medio,ativo,2022-06-16
250,3,Albuquerque,Indústria,49497.71,alto,ativo,2024-08-30
251,3,Mendonça,Serviços,70588.04,medio,ativo,2022-10-10
252,3,Lopes Ltda.,Atacado,72989.66,medio,ativo,2024-01-21
253,3,Santos,Atacado,93341.93,baixo,ativo,2022-04-08
254,3,Lopes Cavalcanti e Filhos,Varejo,39480.81,baixo,ativo,2022-04-21
255,3,Pimenta,Varejo,81911.15,medio,ativo,2025-01-31
256,3,Martins,Indústria,74005.19,baixo,ativo,2020-03-30
257,3,Siqueira,Varejo,126138.92,baixo,ativo,2024-10-01
258,3,Duarte,Varejo,28288.79,baixo,ativo,2025-04-17
259,3,Borges da Mota - ME,Tecnologia,73152.7,baixo,ativo,2024-03-13
260,3,Sá Martins - EI,Tecnologia,45804.53,alto,ativo,2020-11-24
261,3,Fernandes,Indústria,53144.02,medio,ativo,2021-04-30
262,3,Monteiro Ltda.,Serviços,89843.6,baixo,ativo,2020-01-15
263,3,Mendonça Cunha Ltda.,Tecnologia,47040.31,medio,ativo,2025-12-18
264,3,Fernandes,Serviços,49856.33,baixo,ativo,2021-04-07
265,3,Peixoto,Varejo,105825.7,baixo,ativo,2022-09-12
266,3,Novais,Varejo,33116.57,baixo,ativo,2022-09-29
267,3,Moreira S.A.,Varejo,28747.14,medio,ativo,2021-07-27
268,3,da Costa e Filhos,Indústria,57604.25,baixo,ativo,2023-08-06
269,3,Mendonça,Tecnologia,133913.58,baixo,ativo,2023-05-15
270,3,Sales Melo e Filhos,Serviços,92373.36,baixo,ativo,2024-10-15
271,3,Machado,Tecnologia,26094.93,baixo,ativo,2025-11-18
272,3,Borges Ltda.,Atacado,74122.2,baixo,ativo,2025-04-23
273,3,Guerra Sales S.A.,Tecnologia,49294.79,baixo,ativo,2020-08-24
274,3,Ribeiro,Serviços,145812.2,baixo,ativo,2022-11-10
275,3,Melo,Varejo,104071.76,baixo,ativo,2026-01-02
276,3,Lima,Atacado,31476.93,medio,ativo,2020-06-10
277,3,Fogaça,Atacado,70935.71,medio,ativo,2022-06-07
278,3,da Mata,Varejo,133031.6,baixo,ativo,2022-05-17
279,3,da Cunha,Tecnologia,49980.74,alto,ativo,2022-09-20
280,3,Campos Silveira S.A.,Indústria,41730.56,medio,ativo,2023-03-05
281,3,Campos,Atacado,89374.52,baixo,ativo,2025-07-29
282,3,Correia Cunha e Filhos,Indústria,124366.16,baixo,ativo,2022-04-12
283,3,da Mota,Serviços,73810.92,baixo,ativo,2020-03-07
284,3,Brito,Serviços,141518.57,baixo,ativo,2022-03-14
285,3,da Rocha da Conceição Ltda.,Indústria,69379.17,baixo,ativo,2022-11-20
286,3,da Rosa Albuquerque e Filhos,Tecnologia,67884.64,medio,ativo,2021-11-20
287,3,da Mota Aparecida S/A,Serviços,21196.68,medio,ativo,2026-01-29
288,3,Sampaio,Varejo,42758.08,alto,ativo,2020-07-17
289,3,Porto Sá - ME,Serviços,77403.58,medio,ativo,2020-02-07
290,3,Albuquerque - EI,Atacado,79281.26,baixo,ativo,2025-06-02
291,3,Melo,Varejo,52577.0,medio,ativo,2025-12-08
292,3,Macedo,Tecnologia,32935.08,medio,ativo,2022-01-04
293,3,Cirino,Atacado,32520.81,baixo,ativo,2022-10-30
294,3,da Cunha - ME,Tecnologia,41751.71,medio,ativo,2025-02-23
295,3,Azevedo - ME,Varejo,148730.29,baixo,ativo,2020-05-09
296,3,Barbosa,Varejo,69304.32,baixo,ativo,2021-12-02
297,3,Cassiano S.A.,Varejo,129892.87,baixo,ativo,2025-12-03
298,3,Barros,Atacado,36152.95,alto,ativo,2025-05-01
299,3,Campos Novais - ME,Atacado,140140.7,baixo,ativo,2026-04-27
300,3,Vasconcelos Moreira - ME,Serviços,78034.21,medio,ativo,2021-08-13
301,3,Macedo,Serviços,41863.68,medio,ativo,2026-04-28
302,3,Pastor,Indústria,128504.57,baixo,ativo,2024-04-21
303,3,das Neves,Atacado,89078.24,medio,ativo,2023-11-17
304,3,Pimenta e Filhos,Atacado,76821.47,baixo,ativo,2024-06-12
305,3,Teixeira S.A.,Tecnologia,40259.67,alto,ativo,2025-07-02
306,3,da Luz Ribeiro S/A,Atacado,91894.9,baixo,ativo,2024-04-05
307,3,da Costa Cavalcanti - EI,Varejo,100420.07,baixo,ativo,2023-01-02
308,3,Castro S/A,Indústria,112518.03,baixo,ativo,2024-01-17
309,3,Machado,Indústria,20675.38,baixo,ativo,2021-02-22
310,3,da Rocha,Tecnologia,44360.93,baixo,ativo,2021-02-27
311,3,da Conceição Ltda.,Indústria,66008.86,baixo,ativo,2024-04-26
312,3,Sampaio,Atacado,73795.31,baixo,ativo,2022-09-21
313,3,Barbosa,Indústria,42045.78,baixo,ativo,2023-01-04
314,3,da Luz Viana e Filhos,Tecnologia,28224.73,baixo,ativo,2020-11-11
315,3,Lima Camargo - EI,Atacado,142748.9,baixo,ativo,2022-03-11
316,3,Ramos Cassiano Ltda.,Atacado,37613.64,baixo,ativo,2024-04-05
317,3,Barbosa Araújo S.A.,Atacado,36778.9,medio,ativo,2021-07-11
318,3,Peixoto,Serviços,98417.46,baixo,ativo,2024-06-19
319,4,Macedo,Serviços,110344.51,baixo,ativo,2023-08-27
320,4,Martins e Filhos,Atacado,126144.29,baixo,ativo,2022-03-29
321,4,Sampaio,Tecnologia,90931.78,baixo,ativo,2022-05-08
322,4,da Mata,Tecnologia,57873.06,baixo,ativo,2025-08-07
323,4,Macedo,Tecnologia,59368.24,baixo,ativo,2024-03-24
324,4,Peixoto S/A,Atacado,148791.08,baixo,ativo,2024-09-09
325,4,Sousa,Atacado,122793.72,baixo,ativo,2020-12-14
326,4,Pereira,Atacado,52270.03,baixo,ativo,2020-06-30
327,4,Alves,Indústria,103854.06,baixo,ativo,2024-10-29
328,4,da Conceição e Filhos,Atacado,32818.85,baixo,ativo,2026-06-14
329,4,Teixeira e Filhos,Atacado,68635.54,baixo,ativo,2021-09-09
330,4,Oliveira,Varejo,23193.14,baixo,ativo,2021-04-20
331,4,Teixeira S.A.,Serviços,37866.29,medio,ativo,2025-11-04
332,4,Moreira,Indústria,81901.13,baixo,ativo,2020-10-02
333,4,da Mota,Varejo,125324.17,baixo,ativo,2021-11-04
334,4,Pacheco Lopes e Filhos,Indústria,29835.96,alto,ativo,2026-04-12
335,4,Borges,Serviços,80067.04,baixo,ativo,2024-11-05
336,4,Ferreira,Tecnologia,115860.49,baixo,ativo,2024-05-11
337,4,Farias,Varejo,47923.49,baixo,ativo,2021-02-20
338,4,Rios,Varejo,39263.44,medio,ativo,2022-12-10
339,4,Castro Ltda.,Tecnologia,87273.31,medio,ativo,2024-05-26
340,4,Sales,Indústria,65230.2,baixo,ativo,2020-12-13
341,4,da Paz,Indústria,29085.82,medio,ativo,2021-08-02
342,4,Teixeira,Serviços,74371.08,baixo,ativo,2025-06-16
343,4,Marques S/A,Atacado,110146.28,baixo,ativo,2021-11-14
344,4,da Cunha,Varejo,38238.55,baixo,ativo,2024-01-10
345,4,Camargo,Atacado,22277.49,alto,ativo,2025-09-01
346,4,Moraes,Tecnologia,49338.07,medio,ativo,2025-06-24
347,4,Ribeiro - EI,Varejo,93501.71,baixo,ativo,2023-01-30
348,4,Jesus,Tecnologia,57527.14,baixo,ativo,2026-03-01
349,4,Correia - EI,Indústria,94452.83,baixo,ativo,2026-01-29
350,4,Pinto,Tecnologia,67518.42,medio,ativo,2021-02-23
351,4,Pires,Varejo,29802.53,medio,ativo,2025-01-16
352,4,Teixeira,Varejo,132085.95,baixo,ativo,2022-08-28
353,4,Costela Ltda.,Atacado,115889.69,baixo,ativo,2024-10-19
354,4,da Paz Macedo e Filhos,Varejo,38100.55,baixo,ativo,2026-05-24
355,4,Campos,Indústria,56541.05,baixo,ativo,2023-03-31
356,4,Pires - EI,Varejo,143811.65,baixo,ativo,2021-07-09
357,4,Santos Castro Ltda.,Serviços,49661.88,alto,ativo,2021-06-27
358,4,Novaes - ME,Tecnologia,112481.33,baixo,ativo,2025-06-27
359,4,Câmara S/A,Varejo,102212.26,baixo,ativo,2021-01-16
360,4,Campos,Tecnologia,117474.31,baixo,ativo,2025-06-22
361,4,Monteiro Silva Ltda.,Tecnologia,20321.5,baixo,ativo,2024-01-07
362,4,Leão,Serviços,41817.27,medio,ativo,2025-07-19
363,4,Melo,Atacado,127684.67,baixo,ativo,2025-06-10
364,5,Marques Novaes S.A.,Tecnologia,108731.75,baixo,ativo,2020-03-07
365,5,Correia,Tecnologia,131494.71,baixo,ativo,2022-04-08
366,5,Azevedo da Mota - ME,Indústria,18583.95,alto,ativo,2021-01-17
367,5,Viana,Serviços,39747.5,medio,ativo,2020-07-31
368,5,Abreu,Varejo,59716.2,baixo,ativo,2021-01-24
369,5,Silveira,Tecnologia,81984.87,baixo,ativo,2020-02-08
370,5,Pastor,Serviços,64664.64,baixo,ativo,2025-05-10
371,5,Cassiano,Indústria,69799.09,baixo,ativo,2024-02-14
